iter	Passed	Remaining
0	1	679
1	2	582
2	3	535
3	4	555
4	5	531
5	6	516
6	7	506
7	8	499
8	9	512
9	10	504
10	11	501
11	12	495
12	13	501
13	14	492
14	15	488
15	16	484
16	16	480
17	18	483
18	18	479
19	19	476
20	20	478
21	21	475
22	22	474
23	23	472
24	24	469
25	25	472
26	26	471
27	27	468
28	28	466
29	29	468
30	30	466
31	31	465
32	32	463
33	33	464
34	34	462
35	35	462
36	36	462
37	37	461
38	38	459
39	39	458
40	40	456
41	41	457
42	42	456
43	43	453
44	44	451
45	45	452
46	46	452
47	47	450
48	49	451
49	49	449
50	50	448
51	51	446
52	52	444
53	53	444
54	56	453
55	56	451
56	57	450
57	58	448
58	59	447
59	60	445
60	62	449
61	63	447
62	64	445
63	65	446
64	67	452
65	68	451
66	69	450
67	70	448
68	71	446
69	72	448
70	74	450
71	75	449
72	76	448
73	77	448
74	78	447
75	79	445
76	80	444
77	81	442
78	82	441
79	83	439
80	84	437
81	85	436
82	86	434
83	87	433
84	88	431
85	89	430
86	90	428
87	91	426
88	92	425
89	93	423
90	94	423
91	95	424
92	96	422
93	97	421
94	98	419
95	100	421
96	101	420
97	102	418
98	103	417
99	104	416
100	104	414
101	105	413
102	106	411
103	107	410
104	108	409
105	109	407
106	110	406
107	111	404
108	112	403
109	113	402
110	114	401
111	115	399
112	116	398
113	117	397
114	118	395
115	119	394
116	120	393
117	121	393
118	122	391
119	123	390
120	124	389
121	125	387
122	126	386
123	127	385
124	127	383
125	128	382
126	129	381
127	130	380
128	131	378
129	132	377
130	133	377
131	134	375
132	135	374
133	136	373
134	137	372
135	138	371
136	139	369
137	140	368
138	141	367
139	142	366
140	144	368
141	145	367
142	146	365
143	147	364
144	148	363
145	149	361
146	150	360
147	151	359
148	152	358
149	152	356
150	153	355
151	154	354
152	155	353
153	156	352
154	157	350
155	158	349
156	159	348
157	160	347
158	161	346
159	162	345
160	163	344
161	164	343
162	165	341
163	166	340
164	167	340
165	168	339
166	169	338
167	170	337
168	172	337
169	173	336
170	174	335
171	175	333
172	176	332
173	177	331
174	177	330
175	178	329
176	179	328
177	180	326
178	181	325
179	182	324
180	183	323
181	184	322
182	185	321
183	186	320
184	187	318
185	188	317
186	189	316
187	190	315
188	190	314
189	191	313
190	192	311
191	193	310
192	194	309
193	195	308
194	196	307
195	197	306
196	198	305
197	199	303
198	200	302
199	201	301
200	202	301
201	203	299
202	204	298
203	205	297
204	206	296
205	206	295
206	207	294
207	208	293
208	209	291
209	210	290
210	211	289
211	212	288
212	213	287
213	214	286
214	215	285
215	216	284
216	217	283
217	218	282
218	218	280
219	219	279
220	220	278
221	221	277
222	222	276
223	224	276
224	224	274
225	225	273
226	226	272
227	227	271
228	228	270
229	229	269
230	233	271
231	234	270
232	235	269
233	236	268
234	237	267
235	238	266
236	239	265
237	240	264
238	240	263
239	241	261
240	242	260
241	243	259
242	244	258
243	245	257
244	246	256
245	247	255
246	248	254
247	249	253
248	250	252
249	251	251
250	252	250
251	252	248
252	253	247
253	254	246
254	255	245
255	256	244
256	258	244
257	259	243
258	260	242
259	261	241
260	262	240
261	263	239
262	264	238
263	265	237
264	266	236
265	267	234
266	268	233
267	268	232
268	269	231
269	270	230
270	271	229
271	272	228
272	274	228
273	275	227
274	276	226
275	277	225
276	278	223
277	279	222
278	280	221
279	280	220
280	281	219
281	282	218
282	283	217
283	285	216
284	285	215
285	286	214
286	287	213
287	288	212
288	289	211
289	290	210
290	291	209
291	293	208
292	294	207
293	295	206
294	296	205
295	297	204
